consensus_rank,project_name,url,stdev,mean,min_score,max_score,coverage
91,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,12.96,36.16,12.2,53.2,16
92,We Live It,https://www.welivedit.ai,12.97,28.49,1.9,45.1,17
93,AISafety.info,https://aisafety.info,13.03,33.58,6.0,55.0,16
94,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,13.03,29.84,8.8,50.2,17
95,Decidim,https://decidim.org,13.04,62.91,37.6,87.0,17
96,Fairbnb.coop,https://fairbnb.coop,13.05,43.29,14.7,68.4,16
97,Service Manual,https://www.gov.uk/service-manual,13.06,33.27,11.5,52.1,15
98,Democracy Fund Open Source,https://www.dfos.com,13.06,37.43,11.6,53.9,16
99,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,13.07,46.77,16.0,60.4,16
100,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,13.16,37.35,23.4,67.9,17
101,FixMyStreet,https://www.fixmystreet.com,13.17,46.95,20.4,79.0,17
102,The Decelerator,https://decelerator.org.uk,13.18,28.18,4.1,54.1,17
103,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,13.2,42.08,7.1,64.0,17
104,Viewpoints,https://viewpoints.xyz,13.22,36.32,11.7,56.1,17
105,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,13.25,54.21,33.6,74.7,15
106,CivicMatch,https://civicmatch.app,13.27,27.95,3.9,49.1,17
107,MP Watch,https://www.mpwatch.org,13.28,35.79,17.1,73.8,17
108,Idealist,https://idealist.org,13.3,37.49,14.1,58.0,17
109,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,13.31,41.36,18.8,64.8,17
110,OA.Report,https://oa.report,13.33,37.11,15.7,56.0,17
111,CiviClick,https://civiclick.com,13.35,36.65,15.3,63.0,17
112,Agencies for Good,https://www.agenciesforgood.org,13.39,43.35,19.5,60.4,17
113,GreenPT,https://greenpt.ai/,13.42,31.53,10.4,52.2,17
114,FarmerChat,https://farmerchat.digitalgreen.org,13.43,31.74,0.0,58.7,17
115,Timecounts,https://timecounts.org,13.44,37.22,15.3,67.8,17
116,Go Vocal,https://www.govocal.com,13.46,40.56,16.6,64.4,17
117,Strike Map,https://strikemap.org,13.5,43.78,20.6,70.9,17
118,soweego,https://soweego.readthedocs.io,13.55,36.07,11.0,57.0,17
119,Diia,https://expo.diia.gov.ua,13.6,46.73,26.5,70.0,17
120,Atlas of Surveillance,https://atlasofsurveillance.org,13.63,40.73,11.5,63.7,17
121,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,13.64,50.89,17.1,68.0,16
122,GovTrack.us,https://www.govtrack.us,13.65,44.28,16.5,60.9,17
123,Spacetube,https://spacetu.be,13.65,37.48,16.4,54.9,17
124,Local Insight,https://localinsight.org,13.68,31.83,12.2,53.9,17
125,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,13.68,43.91,13.1,61.4,17
126,CiviCRM,https://civicrm.org,13.69,55.05,31.5,79.8,17
127,semanticClimate,https://semanticclimate.github.io,13.71,33.92,11.7,57.7,17
128,Prolific,https://www.prolific.com,13.71,32.98,6.7,59.7,17
129,CONSUL Democracy,https://consulproject.org,13.72,62.86,24.4,78.1,16
130,Moral Machine,https://moralmachine.net,13.73,39.42,13.8,60.8,17
131,Alaveteli,https://alaveteli.org,13.76,60.04,20.8,74.7,17
132,CommunityRule,https://communityrule.info,13.77,55.4,23.1,73.5,17
133,Snowdrift.coop,https://snowdrift.coop,13.8,44.58,13.6,65.0,17
134,OpenAudience,https://openaudience.org,13.8,28.9,4.9,50.9,17
135,PoliMonitor,https://www.polimonitor.com,13.81,27.04,6.7,62.8,17
136,DoNotPay,https://www.donotpay.com,13.82,30.38,0.0,54.2,17
137,Parse The Bill,https://parsethebill.com,13.83,38.15,10.7,64.8,17
138,ShineYourEye,https://www.shineyoureye.org,13.84,43.36,21.7,70.8,16
139,ODK (Open Data Kit),https://getodk.org,13.86,57.51,37.3,78.7,17
140,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,13.86,31.75,11.2,51.0,15
141,Polimorphic,https://www.polimorphic.com,13.88,31.56,0.0,51.0,17
142,GOV.UK One Login,https://www.sign-in.service.gov.uk,13.92,37.81,10.2,58.0,17
143,PlaceCal,https://github.com/geeksforsocialchange/placecal,13.93,48.76,16.6,74.4,17
144,CrowdJustice,https://www.crowdjustice.com,13.93,40.72,16.2,63.2,17
145,Populate Tools,https://github.com/populatetools,13.94,48.73,21.9,70.0,17
146,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,13.97,36.6,12.7,58.9,17
147,The Circuit,https://thecircuit.cc,13.99,41.95,16.5,67.8,17
148,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,13.99,37.07,17.2,66.0,15
149,Filmot,https://filmot.com,13.99,28.16,2.9,57.8,17
150,Objector.ai,https://www.objector.ai,14.01,36.82,10.8,60.0,17
151,The Commons Social Change Library,https://commonslibrary.org,14.02,42.62,17.2,69.2,17
152,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,14.04,32.17,5.4,58.1,16
153,Open Digital Planning,https://opendigitalplanning.org/,14.05,56.8,32.1,78.1,17
154,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,14.06,50.55,16.5,68.0,17
155,Radicle,https://radicle.xyz,14.12,38.7,12.3,56.0,17
156,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,14.12,29.66,7.8,59.0,17
157,Open Heart Mind (OHM),https://openheartmind.org,14.12,56.25,34.3,85.8,17
158,LiquidFeedback,https://liquidfeedback.com,14.17,66.88,43.3,94.4,17
159,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,14.18,24.49,0.0,43.0,17
160,Open Collective,https://opencollective.com,14.19,52.01,27.5,75.8,17
161,Loomio,https://www.loomio.org,14.27,57.05,21.4,80.9,17
162,Granicus,https://granicus.com/uk,14.32,34.71,6.0,63.7,17
163,sourceAFRICA,https://sourceafrica.net,14.35,45.29,20.6,70.0,17
164,mySociety Datasets and APIs,https://data.mysociety.org,14.38,59.94,29.1,78.0,17
165,Humanitarian Data Exchange,https://data.humdata.org,14.38,39.96,16.7,65.8,17
166,django-collaborative,https://github.com/propublica/django-collaborative,14.38,33.59,5.4,54.1,17
167,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,14.39,34.41,7.8,57.0,17
168,Missing Numbers,https://missingnumbers.org,14.41,35.43,11.2,58.9,17
169,Interoperable Deliberative Tools,https://metagov.org/projects/interop,14.42,49.82,15.3,82.0,17
170,GovWise,https://www.govwise.ai/en,14.43,25.22,0.0,45.0,17
171,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,14.44,45.32,15.9,72.8,17
172,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,14.47,44.69,23.5,66.0,16
173,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,14.48,37.61,9.2,62.0,17
174,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,14.5,40.13,13.1,71.0,17
175,Nook CRM,https://nookcrm.com,14.51,32.94,3.9,62.5,17
176,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,14.52,36.75,15.5,59.0,17
177,Pear by Holepunch,https://docs.holepunch.to,14.53,34.03,9.6,54.0,17
178,TheyWorkForYou,https://www.theyworkforyou.com,14.54,47.01,19.6,67.8,17
179,OpenSanctions,https://www.opensanctions.org,14.55,53.19,28.0,73.0,17
180,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,14.55,40.29,11.6,63.7,17
181,Wikidata,https://www.wikidata.org,14.61,47.56,26.6,71.7,17
182,Cobudget,https://cobudget.com,14.61,56.66,17.9,77.4,16
183,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,14.63,40.95,19.9,67.8,16
184,Pursuance Project,https://pursuanceproject.org,14.64,47.96,20.1,77.8,17
185,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,14.65,41.72,14.9,61.8,17
186,Fission Codes,https://github.com/fission-codes/fission-codes,14.66,26.15,3.0,50.7,17
187,Tech Coops List,https://tech-coops.xyz,14.67,50.21,24.4,69.6,17
188,Murmurations Protocol,https://murmurations.network,14.7,47.78,14.4,75.8,17
189,User Research Library,https://research.localgov.digital,14.71,30.67,3.0,49.6,17
190,Parallel Parliament,https://www.parallelparliament.co.uk,14.78,39.36,17.2,59.0,17
191,Urbit,https://urbit.org,14.79,29.67,4.7,51.4,17
192,Participa (Podemos),https://github.com/podemos-info/participa,14.81,54.06,27.1,79.1,17
193,arXiv,https://arxiv.org,14.84,44.4,19.0,78.8,17
194,Yoti,https://www.yoti.com,14.84,27.69,0.0,48.2,17
195,Granitt,https://granitt.io,14.9,40.96,12.7,61.9,17
196,WhatGov,https://www.whatgov.co.uk,14.91,40.73,14.0,64.4,17
197,MP Twitter Bios,https://www.mptwitterbios.co.uk,14.95,37.29,15.8,68.0,17
198,Open Council Network,https://opencouncil.network,14.98,55.25,30.5,83.6,17
199,Riseup,https://riseup.net,14.98,40.25,16.3,65.3,17
200,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,14.99,48.68,13.3,68.0,16
201,Discourse,https://www.discourse.org,15.01,42.51,14.6,71.3,17
202,EDGAR,https://github.com/bellingcat/edgar,15.02,37.2,8.3,58.1,17
203,Papertree,https://www.papertree.earth,15.02,38.94,13.4,58.9,17
204,Your Priorities,https://yrpri.org,15.11,51.42,20.6,80.9,16
205,Relational Tech Project,https://relationaltechproject.org,15.13,46.03,21.6,69.0,17
206,UrbanistAI,https://site.urbanistai.com,15.16,42.48,19.5,72.7,17
207,Choose a License,https://choosealicense.com,15.18,34.75,8.7,62.1,17
208,Shareyourpaper.org,https://shareyourpaper.org,15.19,39.76,9.3,58.9,17
209,Who Posted What?,https://whopostedwhat.com,15.19,32.93,7.0,69.0,17
210,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,15.21,56.21,30.6,86.2,17
211,Humble Data Workshop,https://humbledata.org,15.21,47.04,23.5,77.7,17
212,Security First / Umbrella,https://secfirst.org,15.22,51.8,23.5,70.3,17
213,Citizen OS,https://citizenos.com/platform/,15.25,58.17,15.9,79.8,17
214,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,15.25,54.51,25.6,73.8,17
215,Theft Bisect,https://onodi.co/bisect/,15.26,38.23,14.9,73.0,17
216,GrantNav,https://grantnav.threesixtygiving.org,15.28,39.96,10.9,65.0,17
217,GOV.UK Forms,https://www.forms.service.gov.uk,15.3,38.74,13.7,64.0,17
218,Journal of Open Source Software,https://joss.theoj.org,15.34,43.25,10.8,64.0,16
219,Channel.org,https://channel.org,15.41,46.66,14.2,68.4,16
220,HURIDOCS,https://github.com/huridocs,15.47,58.21,35.1,86.1,17
221,Activist Handbook,https://activisthandbook.org/,15.47,49.19,26.0,84.7,17
222,Conservative Party Funding,https://conservativepartyfunding.co.uk,15.51,32.96,8.2,72.7,17
223,Ethelo,https://ethelo.com,15.54,50.62,18.4,86.0,17
224,GOV.UK Pay,https://www.payments.service.gov.uk,15.55,36.39,10.8,55.3,17
225,GlobaLeaks,https://www.globaleaks.org,15.56,53.24,25.3,72.0,17
226,LittleSis,https://littlesis.org,15.56,49.91,21.1,83.6,17
227,meet.coop,https://www.meet.coop,15.56,44.08,17.2,72.1,17
228,Plausible Analytics,https://plausible.io,15.56,31.06,7.6,57.6,17
229,Nyaaya,https://nyaaya.org,15.57,40.04,13.7,64.8,17
230,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,15.6,37.05,5.3,67.9,17
231,Mastodon,https://github.com/mastodon/mastodon,15.63,57.49,32.9,81.1,17
232,PatCit,https://github.com/cverluise/patcit,15.64,36.44,10.6,62.0,17
233,Manifold Markets,https://manifold.markets,15.66,36.22,3.8,55.9,17
234,ClimateAction.Tech,https://climateaction.tech,15.77,47.46,20.4,74.9,16
235,Journalist Studio,https://journaliststudio.google.com,15.78,35.93,7.0,57.0,17
236,Constitute Project,https://constituteproject.org,15.8,54.04,28.0,77.8,17
237,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,15.8,55.65,13.5,76.0,17
238,Parliament Watch Uganda,https://parliamentwatch.ug/,15.8,41.48,6.6,74.6,17
239,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,15.86,38.52,15.5,71.0,17
240,Open Standards for Data Guidebook,https://standards.theodi.org,15.88,54.49,15.9,76.6,17
241,Open Referral UK,https://openreferraluk.org,15.88,47.92,14.1,70.0,17
242,OpenBudgets.eu,https://openbudgets.eu,15.93,46.04,13.9,69.0,17
243,Open Council Data UK,https://opencouncildata.co.uk,15.93,37.51,5.1,63.3,17
244,Open Ownership,https://www.openownership.org,15.95,55.32,24.3,76.7,17
245,Pastecal,https://github.com/kazad/pastecal,15.95,44.08,14.6,66.2,17
246,Logos,https://logos.co/,16.01,52.21,24.4,75.1,17
247,Public AI Inference Utility,https://publicai.co/,16.02,44.76,19.1,70.0,17
248,Internet Archive Wayback Machine,https://web.archive.org,16.06,51.91,22.0,77.6,17
249,Unpaywall Browser Extension,https://unpaywall.org/products/extension,16.08,42.83,10.8,69.8,17
250,Open Data Communities,https://opendatacommunities.org,16.1,40.48,11.4,64.0,17
251,MapIt,https://mapit.mysociety.org,16.11,42.56,14.6,67.9,17
252,The Engine Room Library,https://library.theengineroom.org,16.11,43.89,21.2,65.8,16
253,Bluesky Social,https://github.com/bluesky-social,16.2,38.81,9.0,61.0,17
254,Mastodon C,https://www.mastodonc.com,16.21,47.44,17.1,78.7,17
255,OSINT Framework,https://osintframework.com,16.31,43.14,18.0,73.3,17
256,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,16.33,54.7,33.7,90.0,16
257,openparliament.ca,https://openparliament.ca/,16.35,46.65,20.4,71.8,17
258,Esper,https://esper.com/product,16.35,31.11,5.4,56.2,17
259,Aleph (OCCRP),https://aleph.occrp.org,16.38,57.06,27.1,80.7,17
260,GOV.UK Notify,https://www.notifications.service.gov.uk,16.38,37.54,11.0,59.9,17
261,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,16.39,44.1,4.7,65.8,16
262,FixMyBlock,https://fixmyblock.org,16.42,32.98,5.9,66.7,17
263,Open Supply Hub,https://opensupplyhub.org,16.43,57.82,26.1,93.2,17
264,Open Letter,https://openletter.earth,16.44,41.64,12.4,76.5,17
265,Polis,https://github.com/compdemocracy/polis,16.45,60.26,19.9,87.4,17
266,Schema.org,https://schema.org,16.45,37.14,12.4,58.9,17
267,OA.Works,https://oa.works/,16.47,47.38,21.9,68.8,17
268,Full Fact AI,https://fullfact.org/ai,16.49,39.78,13.5,64.9,17
269,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,16.57,53.39,30.1,79.0,17
270,whatsmeow,https://github.com/tulir/whatsmeow,16.59,33.34,6.0,64.0,17
271,Open Contracting Partnership,https://www.open-contracting.org,16.7,57.65,27.6,89.2,17
272,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,16.72,55.95,19.1,84.5,17
273,CivicPress,https://civicpress.io/,16.8,37.8,7.6,64.0,17
274,OpenCRVS,https://www.opencrvs.org,16.87,56.46,32.4,85.7,17
275,VFRAME,https://vframe.io,16.89,47.98,12.5,79.8,17
276,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,16.92,60.76,29.9,82.7,17
277,Martus,https://www.martus.org,16.92,50.59,27.3,81.6,17
278,Talk to the City,https://talktothecity.org,16.94,54.63,23.0,85.7,17
279,Nym,https://nymtech.net,16.98,45.29,20.7,72.9,17
280,ORCID,https://orcid.org,16.99,42.71,9.8,69.7,17
281,Open Science Framework,https://osf.io,17.05,48.76,19.5,74.7,17
282,SecureDrop,https://securedrop.org,17.14,50.24,12.6,76.0,17
283,PolicyEngine,https://policyengine.org/uk,17.23,53.62,13.9,75.7,17
284,Tor Project,https://www.torproject.org,17.25,51.69,14.5,70.7,17
285,WhatDoTheyKnow,https://www.whatdotheyknow.com,17.28,49.56,15.2,76.6,17
286,Pageviews Analysis,https://pageviews.wmcloud.org,17.28,39.18,8.5,66.0,17
287,DemTech Navigator,https://navigator.oii.ox.ac.uk,17.38,29.55,2.1,57.0,17
288,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,17.5,47.21,16.8,81.7,17
289,Overton,https://overton.io,17.5,33.39,7.3,60.9,17
290,OpenOrigins,https://www.openorigins.com,17.52,29.15,0.0,59.1,17
291,Privacy Badger,https://privacybadger.org,17.62,45.05,13.6,65.1,17
292,Organise,https://www.organise.org.uk,17.69,39.57,14.2,79.3,17
293,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,17.72,36.75,4.2,63.0,17
294,ОПОРА (Opora),https://www.oporaua.org,17.75,50.53,22.1,81.5,16
295,youtube-dl,https://github.com/ytdl-org/youtube-dl,17.81,38.46,4.7,68.0,17
296,Who Targets Me Trends,https://trends.whotargets.me,17.81,41.76,12.8,75.0,17
297,CKAN,https://ckan.org,17.85,48.78,21.5,78.7,17
298,Matrix,https://matrix.org,17.97,56.32,23.6,86.4,17
299,Guardian Project,https://guardianproject.info,18.05,59.54,26.5,87.7,17
300,Kagi SlopStop,https://blog.kagi.com/slopstop,18.09,34.42,8.4,69.9,17
301,OpenProcurement,https://openprocurement.io,18.34,49.97,12.2,76.6,17
302,Coral,https://coralproject.net,18.45,46.4,11.5,67.0,17
303,NumFOCUS,https://numfocus.org,18.46,43.78,4.9,72.5,17
304,Campaign Tracker,https://www.campaigntracker.nl/en,18.51,47.81,17.7,87.4,17
305,Worker Info Exchange,https://www.workerinfoexchange.org,18.81,41.54,13.4,94.7,17
306,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,19.01,43.32,14.6,70.7,17
307,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,19.01,40.52,10.8,79.0,16
308,The Government Says,https://thegovernmentsays.com,19.04,46.91,17.6,75.8,17
309,Turkopticon,https://turkopticon.ucsd.edu,19.17,47.52,12.5,86.6,17
310,Bluesky,https://bsky.app,19.3,41.57,0.8,72.9,16
311,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,19.43,47.51,10.3,82.0,16
312,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,19.8,41.72,8.9,75.7,17
313,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,19.94,46.08,15.5,89.0,17
314,oTree,https://www.otree.org,20.0,45.58,10.9,70.5,17
315,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,21.06,53.67,9.9,92.5,16
316,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,21.82,45.13,10.6,100.0,17
317,AlgorithmWatch,https://algorithmwatch.org,21.88,59.36,13.6,95.5,16
318,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,22.62,41.79,8.6,88.5,17
